Module                  | Self CPU total | CPU total | Self CUDA total | CUDA total | Self CPU Mem | CPU Mem | Self CUDA Mem | CUDA Mem  | Number of Calls
------------------------|----------------|-----------|-----------------|------------|--------------|---------|---------------|-----------|----------------
DistributedDataParallel |                |           |                 |            |              |         |               |           |                
└── module              |                |           |                 |            |              |         |               |           |                
 ││├── conv1            | 166.415us      | 620.202us | 6.850ms         | 27.361ms   | 0 b          | 0 b     | 74.27 Mb      | 640.30 Mb | 1              
 ││├── bn1              | 116.501us      | 304.978us | 599.040us       | 1.724ms    | 0 b          | 0 b     | 74.27 Mb      | 371.33 Mb | 1              
 ││├── relu             | 82.978us       | 165.844us | 632.736us       | 1.851ms    | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 ││├── conv2            | 120.661us      | 438.702us | 3.037ms         | 12.109ms   | 0 b          | 0 b     | 74.27 Mb      | 571.21 Mb | 1              
 ││├── bn2              | 115.777us      | 302.232us | 596.000us       | 1.716ms    | 0 b          | 0 b     | 74.27 Mb      | 371.33 Mb | 1              
 ││├── downsample       |                |           |                 |            |              |         |               |           |                
 │││├── 0               | 104.386us      | 373.716us | 508.768us       | 1.996ms    | 0 b          | 0 b     | 74.27 Mb      | 297.07 Mb | 1              
 │││└── 1               | 115.264us      | 299.879us | 594.208us       | 1.711ms    | 0 b          | 0 b     | 74.27 Mb      | 371.33 Mb | 1              
 │├── 1                 |                |           |                 |            |              |         |               |           |                
 ││├── conv1            | 124.060us      | 452.777us | 3.033ms         | 12.094ms   | 0 b          | 0 b     | 74.27 Mb      | 571.21 Mb | 1              
 ││├── bn1              | 114.914us      | 299.329us | 597.888us       | 1.722ms    | 0 b          | 0 b     | 74.27 Mb      | 371.33 Mb | 1              
 ││├── relu             | 86.822us       | 168.921us | 641.024us       | 1.863ms    | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 ││├── conv2            | 120.833us      | 439.166us | 3.025ms         | 12.061ms   | 0 b          | 0 b     | 74.27 Mb      | 571.21 Mb | 1              
